Column,host_id,host_name_x,num_host_listings,id,license,host_url,listing_url,host_about,host_name_y,latitude,longitude,minimum_nights,availability_365,last_review,neighbourhood,N_EXPEDIENT,CODI_DISTRICTE,neighbourhood_group,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
447,1391607.0,Aline I Andrea,86,53146022.0,HUTB-007136,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/53146022,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.3813,2.1498,3.0,283.0,2022-12-05,Eixample,02-2013-1516,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,1,139,,,,,,,5,2,4.0,2.149699954,41.37919542
448,1391607.0,Aline I Andrea,86,38091474.0,HUTB-000776,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/38091474,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.41032,2.1804099999999997,3.0,283.0,2022-12-05,Sant Martí,10-2012-0419,10,SANT MARTI,64.0,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,319,,,,,,,1,,4.0,2.180265183,41.40733084
449,1391607.0,Aline I Andrea,86,6.033274905791644e+17,HUTB-001273,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/603327490579164432,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.398,2.1705400000000004,3.0,283.0,2022-12-05,Eixample,02-2012-1221,2,L'EIXAMPLE,7.0,la Dreta de l'Eixample,Carrer,VALENCIA,1,365,,,,,,,3,2,6.0,2.170337485,41.39709539
450,1391607.0,Aline I Andrea,86,6.665471552502865e+17,HUTB-000775,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/666547155250286477,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.409890000000004,2.1821900000000003,3.0,279.0,2022-12-05,Sant Martí,10-2012-0420,10,SANT MARTI,64.0,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,317,,,,,,,1,1,8.0,2.180347616,41.40726803
451,1391607.0,Aline I Andrea,86,7.042488486754684e+17,HUTB-005149,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/704248848675468423,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.40112,2.17516,3.0,281.0,2022-12-06,Eixample,02-2013-0245,2,L'EIXAMPLE,6.0,la Sagrada Família,Avinguda,DIAGONAL,2,336,,,,,,,7,1,7.0,2.173020643,41.39859394
452,1391607.0,Aline I Andrea,86,6.288510028725338e+17,HUTB-010351,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/628851002872533824,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.40204,2.15998,3.0,273.0,2022-12-06,Gràcia,06-2014-0329,6,GRACIA,31.0,la Vila de Gràcia,Carrer,RAMON Y CAJAL,1,41,,,,,,,1,1,7.0,2.15807632,41.40113377
453,1391607.0,Aline I Andrea,86,53492061.0,HUTB-012498,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/53492061,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.38816,2.1551299999999998,3.0,283.0,2022-12-06,Eixample,02-2014-2174,2,L'EIXAMPLE,8.0,l'Antiga Esquerra de l'Eixample,Carrer,VILLARROEL,2,136,,,,,,,EN,2,4.0,2.1535831340000002,41.38506836
454,1391607.0,Aline I Andrea,86,21182325.0,HUTB-003003,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/21182325,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.38454,2.16073,3.0,267.0,2022-12-06,Eixample,02-2012-1364,2,L'EIXAMPLE,8.0,l'Antiga Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,549,,,,,,,PR,3,4.0,2.159022578,41.38177864
455,1391607.0,Aline I Andrea,86,6.744593673449315e+17,HUTB-009631,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/674459367344931485,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.394090000000006,2.15682,3.0,277.0,2022-12-07,Eixample,02-2014-0898,2,L'EIXAMPLE,7.0,la Dreta de l'Eixample,Carrer,ROSSELLO,2,202,,,,,,,EN,2,5.0,2.1566120559999997,41.39159086
456,1391607.0,Aline I Andrea,86,6.744899081306289e+17,HUTB-000781,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/674489908130628878,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.40849,2.18215,3.0,278.0,2022-12-07,Sant Martí,10-2012-0425,10,SANT MARTI,64.0,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,317,,,,,,,3,1,8.0,2.180347616,41.40726803
457,1391607.0,Aline I Andrea,86,38083886.0,HUTB-000763,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/38083886,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.41016,2.18188,3.0,286.0,2022-12-07,Sant Martí,10-2012-0022,10,SANT MARTI,64.0,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,317,,,,,,,3,4,8.0,2.180347616,41.40726803
458,1391607.0,Aline I Andrea,86,20087375.0,HUTB-006729,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/20087375,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.39777,2.15667,3.0,283.0,2022-12-07,Gràcia,06-2013-0372,6,GRACIA,31.0,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,1,29,,,,,,,1,2,5.0,2.1555308909999997,41.39593692
459,1391607.0,Aline I Andrea,86,5.925633280100444e+17,HUTB-004365,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/592563328010044434,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.408570000000005,2.18038,3.0,278.0,2022-12-09,Sant Martí,10-2012-0538,10,SANT MARTI,64.0,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,317,,,,,,,3,2,5.0,2.180347616,41.40726803
460,1391607.0,Aline I Andrea,86,42211417.0,HUTB-009568,https://www.airbnb.com/users/show/1391607,https://www.airbnb.com/rooms/42211417,"Hi! We are Andrea and Aline and we work for a company specialized in short term rentals. 
We’ve traveled around the world and this job gave us the opportunity to meet other people from different cultures and nationalities, as well as share our experiences with them.
It would be our pleasure to welcome you into our apartments and make you feel like you are in your own home!
Hosting people in our apartments is not just our job, it is our true passion. 

",Aline I Andrea,41.397059999999996,2.15753,3.0,278.0,2022-12-10,Gràcia,06-2014-0286,6,GRACIA,31.0,la Vila de Gràcia,Carrer,MINERVA,1,9,,,,,,,AT,2,5.0,2.155273272,41.39464284
461,32037490.0,SweetInn,69,53930665.0,HUTB-005909,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/53930665,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.37956,2.15172,2.0,107.0,2022-07-27,Eixample,02-2013-0858,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,PR,3,7.0,2.151161481,41.378370200000006
462,32037490.0,SweetInn,69,42373718.0,HUTB-001863,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/42373718,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.381029999999996,2.1592,2.0,92.0,2022-10-07,Eixample,02-2010-0732,2,L'EIXAMPLE,10.0,Sant Antoni,Carrer,SEPULVEDA,1,125,,,,,,,AT,,3.0,2.158261244,41.37913021
463,32037490.0,SweetInn,69,42633499.0,HUTB-002915,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/42633499,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.37652,2.14278,2.0,180.0,2022-10-25,Sants-Montjuïc,03-2012-0091,3,SANTS-MONTJUÏC,15.0,Hostafrancs,Carrer,CALLAO,2,20,,,,,,,2,1,5.0,2.141682506,41.37466846
464,32037490.0,SweetInn,69,6176958.0,HUTB-005997,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6176958,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.38947,2.16895,2.0,162.0,2022-10-12,Eixample,02-2013-0935,2,L'EIXAMPLE,7.0,la Dreta de l'Eixample,Passeig,GRACIA,2,16,,,,,,,3,1,7.0,2.167832455,41.38748321
465,32037490.0,SweetInn,69,6723889.0,HUTB-005608,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6723889,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.39065,2.1901900000000003,2.0,185.0,2022-10-13,Sant Martí,10-2013-0239,10,SANT MARTI,67.0,la Vila Olímpica del Poblenou,Carrer,SARDENYA,2,56,,62.0,,,,A,5,4,5.0,2.188847946,41.389114500000005
466,32037490.0,SweetInn,69,6.802897352831107e+17,HUTB-000062,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/680289735283110604,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.3965,2.1993099999999997,2.0,188.0,2022-10-15,Sant Martí,10-2012-0230,10,SANT MARTI,68.0,el Poblenou,Passatge,MAS DE RODA,2,26,,,,,,A,1,4,3.0,2.199401232,41.39524694
467,32037490.0,SweetInn,69,6733340.0,HUTB-007436,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6733340,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.38122,2.15345,2.0,172.0,2022-10-23,Eixample,02-2013-1855,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,CALABRIA,2,130,,,,,,,1,3,6.0,2.152221076,41.379277
468,32037490.0,SweetInn,69,54239231.0,HUTB-007820,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/54239231,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.37404,2.13935,2.0,195.0,2022-10-26,Sants-Montjuïc,03-2013-0655,3,SANTS-MONTJUÏC,18.0,Sants,Carrer,SANTS,1,19,,,,,,,3,,4.0,2.1388931230000003,41.373364
469,32037490.0,SweetInn,69,6723758.0,HUTB-008756,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6723758,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.4046,2.15456,2.0,177.0,2022-10-28,Gràcia,06-2014-0114,6,GRACIA,31.0,la Vila de Gràcia,Carrer,TORRENT DE L'OLLA,2,186,,,,,,,AT,3,2.0,2.153409248,41.40281319
470,32037490.0,SweetInn,69,6722829.0,HUTB-002130,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6722829,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.38863,2.19631,2.0,185.0,2022-11-03,Sant Martí,10-2012-0294,10,SANT MARTI,67.0,la Vila Olímpica del Poblenou,Carrer,SALVADOR ESPRIU,1,25,,,,,,,5,2,14.0,2.195192167,41.38678565
471,32037490.0,SweetInn,69,6.998213187138726e+17,HUTB-002440,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/699821318713872687,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.406321000000005,2.151797,2.0,182.0,2022-11-05,Gràcia,06-2009-0226,6,GRACIA,31.0,la Vila de Gràcia,Carrer,NIL FABRA,1,15,,,,,,,EN,4,3.0,2.150797753,41.40437355
472,32037490.0,SweetInn,69,51008754.0,HUTB-007358,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/51008754,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.38068,2.15132,2.0,190.0,2022-11-06,Eixample,02-2013-1725,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,EN,2,8.0,2.151161481,41.378370200000006
473,32037490.0,SweetInn,69,42697259.0,HUTB-001860,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/42697259,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.381029999999996,2.1592,2.0,152.0,2022-11-07,Eixample,02-2010-0723,2,L'EIXAMPLE,10.0,Sant Antoni,Carrer,SEPULVEDA,1,125,,,,,,,4,2B,5.0,2.158261244,41.37913021
474,32037490.0,SweetInn,69,42802494.0,HUTB-001856,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/42802494,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.381029999999996,2.1592,2.0,170.0,2022-11-09,Eixample,02-2010-0713,2,L'EIXAMPLE,10.0,Sant Antoni,Carrer,SEPULVEDA,1,125,,,,,,,1,2B,5.0,2.158261244,41.37913021
475,32037490.0,SweetInn,69,6.816683760428774e+17,HUTB-007611,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/681668376042877492,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.37964,2.15175,2.0,188.0,2022-11-10,Eixample,02-2013-1827,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,3,1,8.0,2.151161481,41.378370200000006
476,32037490.0,SweetInn,69,7.541531884200908e+17,HUTB-007361,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/754153188420090703,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.38063,2.15131,2.0,98.0,2022-11-11,Eixample,02-2013-1726,2,L'EIXAMPLE,9.0,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,1,1,8.0,2.151161481,41.378370200000006
477,32037490.0,SweetInn,69,42909469.0,HUTB-001767,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/42909469,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.381029999999996,2.1592,2.0,192.0,2022-11-11,Eixample,02-2010-0704,2,L'EIXAMPLE,10.0,Sant Antoni,Carrer,SEPULVEDA,1,125,,,,,,,PR,2A,6.0,2.158261244,41.37913021
478,32037490.0,SweetInn,69,9600571.0,HUTB-007814,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/9600571,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.37519,2.14005,2.0,182.0,2022-11-14,Sants-Montjuïc,03-2013-0656,3,SANTS-MONTJUÏC,18.0,Sants,Carrer,SANTS,1,19,,,,,,,1,,4.0,2.1388931230000003,41.373364
479,32037490.0,SweetInn,69,6723465.0,HUTB-001503,https://www.airbnb.com/users/show/32037490,https://www.airbnb.com/rooms/6723465,"Sweet Inn offers more than 500 stylish apartments for vacations and business trips in the most exciting cities. Our apartments are professionally designed for the ultimate comfort, with heavenly beds, the fluffiest towels, high-end toiletries, a Nespresso machine, fast WiFi and tons of other perks. A few more things you should know about Sweet Inn: we have a local team that will take the best care of you and share tips only a local would know. We also offer personalised services to make your stay unique: airport transfer, housekeeping, breakfast delivery, private chef, and more. When you stay in a Sweet Inn apartment, you enjoy the best of both worlds; the independence and local flavour of an apartment, with the comfort and high-end services of a hotel. For the smoothest experience possible, make sure to download our great App after booking.",SweetInn,41.398990000000005,2.15508,2.0,196.0,2022-11-15,Gràcia,06-2010-0141,6,GRACIA,31.0,la Vila de Gràcia,Carrer,VIC,2,16,,,,,,,2,4,6.0,2.15397108,41.39713071
